,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
445,10000.0,0.2580375563698369,0.0175,0.94,0.98,0.5906,0.0572,0.1384,0.2138,142.0,8574.0,6141.0,0.6141,1.2690714102147373,408.0,0.0408,0.20625133687177918,3.060044488594385e-18,1.4526733003776226e-18,3112.311303941907,1.073525992129098,0.7807755842131675,1.3536567302458537e-19,38.281458984066646,5.583836342531092e-19,9.136218809390676e-19,0.6099514729296046,0.5292172696363839,3.7142835962438767e-25
446,10000.0,0.2580375563698369,0.0175,0.94,0.96,0.5798,0.0594,0.1403,0.2205,229.0,8666.0,6059.0,0.6059,1.234883672160409,406.0,0.0406,0.213907025647972,3.090116787191205e-18,1.426382284581155e-18,3026.243427159394,1.066481139568301,0.7680262080432931,1.4624085257975905e-19,40.95448715055546,5.740035637272949e-19,9.434900863029959e-19,0.6181619448535587,0.579960767747416,3.750785367965119e-25
447,10000.0,0.2580375563698369,0.0175,0.94,0.94,0.5692,0.0559,0.1515,0.2234,414.0,8680.0,6127.0,0.6127,1.2710862582954796,431.0,0.0431,0.21411906663692923,3.046112591029248e-18,1.3969493918641117e-18,3006.613044650471,1.0792239592544437,0.7976315464340833,1.3625462012469473e-19,38.709089881510025,5.9341234822912155e-19,9.194962308113197e-19,0.6415388930582517,0.5381427648115314,3.6973730517130333e-25
448,10000.0,0.2734578596782311,0.06,1.0,1.0,0.6535,0.0,0.1447,0.2018,0.0,9447.0,6032.0,0.6032,1.2743281175643584,410.0,0.041,0.2138307095747375,3.0678755165788607e-18,1.5991181124764692e-18,3464.020026969499,1.0696788456314275,0.7607131900859421,0.0,0.0,5.705428285134354e-19,8.98214575588956e-19,0.5622238881336395,0.43783992327498933,3.6735866162279043e-25
449,10000.0,0.2734578596782311,0.06,1.0,0.98,0.6487,0.0,0.1464,0.2049,145.0,9653.0,5914.0,0.5914,1.244910044983978,361.0,0.0361,0.19899937204676676,3.036231869332846e-18,1.5906212345372214e-18,3481.5242682613293,1.0755311522903874,0.7789482996842183,0.0,0.0,5.609665585645586e-19,8.846440762310659e-19,0.5807735806998291,0.4521806839246437,3.635695352914448e-25
450,10000.0,0.2734578596782311,0.06,1.0,0.96,0.6333,0.0,0.1533,0.2134,267.0,9803.0,6093.0,0.6093,1.2529207840279069,413.0,0.0413,0.21118420839870508,3.071421625505566e-18,1.571950346012972e-18,3401.2375981494083,1.0688062924587554,0.8086690360707455,0.0,0.0,5.962533459088196e-19,9.032179335837747e-19,0.6237322152033966,0.6004903266600015,3.677832857062134e-25
451,10000.0,0.2734578596782311,0.06,1.0,0.94,0.6159,0.0,0.153,0.2311,391.0,9690.0,6135.0,0.6135,1.2811252390722068,401.0,0.0401,0.21141537230287819,3.081180729577816e-18,1.517794166137591e-18,3273.6578867539715,1.0802435306621876,0.7910610560014815,0.0,0.0,5.953522946073833e-19,9.680342688328416e-19,0.6351795495645121,0.6066953535645256,3.6895187660608706e-25
452,10000.0,0.2734578596782311,0.06,0.98,1.0,0.6421,0.0192,0.1457,0.193,0.0,9342.0,6053.0,0.6053,1.2904566780189812,422.0,0.0422,0.22050855403416944,3.0589578202623497e-18,1.5779759811942846e-18,3428.1868538746116,1.0664134605397082,0.7693743142383638,4.97523408488853e-20,14.267322382816253,5.747032990484904e-19,8.565261991706887e-19,0.5677395201807208,0.49168577305292244,3.6629082397230934e-25
453,10000.0,0.2734578596782311,0.06,0.98,0.98,0.6214,0.0198,0.1501,0.2087,143.0,9273.0,6113.0,0.6113,1.2487466703958343,399.0,0.0399,0.20715279681462861,3.0595716290487847e-18,1.5239623650058565e-18,3310.1768894411803,1.07938399422842,0.8026238372434726,4.9090653448734786e-20,14.07474813598234,6.004356381431731e-19,8.860829724510205e-19,0.6033434667885127,0.48679251572277343,3.6636432368670733e-25
454,10000.0,0.2734578596782311,0.06,0.98,0.96,0.6095,0.0205,0.1529,0.2171,261.0,9443.0,5999.0,0.5999,1.2323846263187148,406.0,0.0406,0.22171277738453768,3.064129476841878e-18,1.4899582999339845e-18,3231.5031708757683,1.0844346733999848,0.8017674977033897,5.013094390180738e-20,14.351629469161507,5.969171419798578e-19,9.27123091026228e-19,0.6173876296748478,0.5437160642236117,3.6691009709117006e-25
